student_id,student_name,overall_gpa,obtained_credits,enrolled_credits,attendance_rate
21GW001,奥村 里歩,0.410 ,3,22,68.6
21GW002,酒井 璃玖,0.548 ,10,22,73.9
21GW003,大橋 雄大,0.835 ,11,18,65.0
21GW004,川村 杏莉,1.003 ,14,22,81.6
21GW005,大沢 楽,1.047 ,12,23,64.9
21GW006,岡田 理恵,1.089 ,17,23,86.0
21GW007,丸山 春輝,1.634 ,13,21,77.7
21GW008,早川 望美,1.652 ,17,20,87.3
21GW009,三宅 汐里,1.657 ,20,23,85.3
21GW010,澤田 幸之助,1.718 ,18,21,92.7
21GW011,野田 宗太,1.776 ,20,22,82.4
21GW012,星野 諒,1.778 ,18,22,99.4
21GW013,松村 洋介,1.795 ,20,24,97.6
21GW014,原田 斗真,1.796 ,21,24,91.3
21GW015,五十嵐 陽一,1.916 ,21,23,89.5
21GW016,原 奈緒美,1.959 ,23,23,95.2
21GW017,成田 智恵,1.960 ,22,22,93.7
21GW018,水野 亜由美,1.960 ,22,24,95.9
21GW019,永田 隼,2.046 ,23,24,91.8
21GW020,濱田 舞衣,2.186 ,20,22,97.5
21GW021,村上 一太,2.241 ,19,21,85.7
21GW022,武田 友梨,2.244 ,25,25,91.8
21GW023,馬場 楓花,2.255 ,22,24,87.1
21GW024,土屋 涼香,2.263 ,21,23,91.1
21GW025,後藤 俊哉,2.302 ,20,20,99.4
21GW026,山崎 晴喜,2.319 ,20,22,89.4
21GW027,菅原 聖也,2.365 ,22,22,94.1
21GW028,宮崎 竜也,2.366 ,20,22,92.9
21GW029,大森 香帆,2.368 ,18,22,86.1
21GW030,村田 千明,2.395 ,23,23,92.3
21GW031,松原 結月,2.410 ,20,22,97.6
21GW032,吉田 勲,2.414 ,22,22,91.2
21GW033,片岡 仁志,2.420 ,21,24,92.4
21GW034,沢田 美桜,2.458 ,22,22,95.3
21GW035,山田 尚,2.460 ,24,24,95.3
21GW036,横田 千尋,2.503 ,22,22,93.6
21GW037,安田 あい,2.505 ,22,22,94.1
21GW038,小島 和花,2.543 ,24,24,92.5
